Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
Palestine,374,402,418,439,449,466,474,480,484,342,342,342,343,344,344,353,353,353,362,371,374,375,375,375,375,375,375,375,375,375,376,381,388,391,398,423,423,423,423,423,429,434,446,446,447,448,449,451,457,464,464,464,472,473,481,485,487,489,489,492,505,514,555,600,675,784,833,"1,001","1,169","1,328","1,382","1,557","1,815","1,990","2,185","2,428","2,758","3,080","3,334","3,835","4,277","4,341","4,647","5,029","5,220","5,551","5,931","6,230","6,566","6,764","7,064","7,412","7,764","8,204","8,549","8,916","9,228","9,398","9,744","10,093","10,306","10,469","10,621","10,938","11,284","11,548","11,837","12,160","12,297","12,541","12,770","13,065","13,398","13,722","13,928","14,208","14,510","14,875","15,184","15,491"
Mauritius,324,324,325,328,328,328,329,331,331,331,332,334,334,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,334,334,334,334,334,335,335,335,335,335,335,335,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,340,340,341,341,341,341,341,341,341,341,341,341,341,341,342,342,342,342,342,342,342,342,342,343,343,343,343,343,343,343,343,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
Venezuela,204,204,227,256,285,288,298,298,318,323,325,329,329,331,333,335,345,357,357,361,379,381,388,402,414,422,423,440,455,459,504,541,618,618,824,882,944,"1,010","1,121","1,177","1,211","1,245","1,325","1,370","1,459","1,510","1,662","1,819","1,952","2,087","2,145","2,316","2,377","2,473","2,632","2,738","2,814","2,879","2,904","2,904","3,062","3,150","3,386","3,483","3,591","3,789","3,917","4,048","4,187","4,366","4,563","4,779","5,130","5,297","5,530","5,832","6,062","6,273","6,537","6,750","7,169","7,411","7,693","8,008","8,372","8,803","9,178","9,465","9,707","10,010","10,428","10,854","11,191","11,483","11,891","12,334","12,774","13,164","13,613","14,263","14,929","15,463","15,988","16,571","17,158","17,859","18,574","19,443","20,206","20,754","21,438","22,299","23,280","24,166","24,961","25,805","26,800","27,938","29,088","30,369"
Montenegro,303,303,307,308,312,313,315,316,319,320,321,321,321,322,322,322,322,322,323,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,325,326,326,333,337,355,359,362,367,378,389,414,439,469,481,501,548,576,616,663,720,781,841,907,960,"1,019","1,019","1,164","1,221","1,287","1,287","1,287","1,965","2,024","2,072","2,188","2,283","2,381","2,472","2,569","2,665","2,747","2,799","2,893","2,949","3,016","3,016","3,073","3,198","3,258","3,301","3,361","3,411","3,480","3,549","3,588","3,618","3,696","3,748","3,813","3,857"
Isle of Man,284,291,297,298,300,307,307,307,308,308,308,308,309,313,315,316,320,321,325,326,327,329,329,329,330,330,331,332,332,334,335,335,335,335,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
Jamaica,143,143,163,173,223,228,252,252,257,288,305,350,364,396,396,422,432,463,469,471,473,478,488,490,498,502,505,507,509,509,511,517,520,520,520,529,534,544,550,552,556,564,569,569,575,581,586,588,590,591,591,595,596,598,599,605,605,611,614,615,617,621,621,626,638,652,657,659,665,670,678,684,686,690,696,698,702,707,715,721,728,732,737,745,751,753,753,758,758,759,762,763,765,768,774,790,809,810,816,821,831,837,842,853,855,856,864,878,883,894,905,920,928,958,987,"1,003","1,023","1,031","1,047","1,065"
Tanzania,94,147,147,170,254,254,284,284,299,299,299,299,299,480,480,480,480,480,480,480,480,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
El Salvador,164,177,190,201,218,225,237,250,261,274,298,323,345,377,395,424,446,490,555,587,633,695,742,784,889,958,998,"1,037","1,112","1,210","1,265","1,338","1,413","1,498","1,571","1,640","1,725","1,819","1,915","1,983","2,042","2,109","2,194","2,278","2,395","2,517","2,582","2,653","2,705","2,781","2,849","2,934","3,015","3,104","3,191","3,274","3,373","3,481","3,603","3,720","3,826","3,941","4,066","4,200","4,329","4,475","4,626","4,808","4,973","5,150","5,336","5,517","5,727","5,934","6,173","6,438","6,736","7,000","7,267","7,507","7,777","8,027","8,307","8,566","8,844","9,142","9,391","9,674","9,978","10,303","10,645","10,957","11,207","11,508","11,846","12,207","12,582","12,975","13,377","13,792","14,221","14,630","15,035","15,446","15,841","16,230","16,632","17,050","17,448","17,843","18,262","18,701","19,126","19,544","19,978","20,423","20,872","21,269","21,644","21,993"
Vietnam,268,268,268,268,268,268,268,268,270,270,270,270,270,270,270,270,270,271,271,271,271,288,288,288,288,288,288,288,312,314,318,320,324,324,324,324,324,324,325,326,327,327,327,327,328,328,328,328,328,328,328,329,329,332,332,332,332,333,334,334,334,334,335,342,349,349,349,349,349,352,352,353,355,355,355,355,355,355,355,355,355,369,369,369,369,369,370,372,372,373,381,381,382,382,383,384,401,408,412,413,417,420,431,446,459,509,546,590,620,652,672,717,747,789,812,841,847,866,883,911
Equatorial Guinea,51,79,79,79,79,83,84,209,214,258,258,258,315,315,315,315,315,315,315,315,439,439,439,439,439,439,439,522,583,594,594,594,719,825,890,903,960,960,960,"1,043","1,043","1,043","1,043","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,664","1,664","1,664","1,664","1,664","1,664","1,664","1,664","2,001","2,001","2,001","2,001","2,001","2,001","2,001","2,001","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","3,071","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821","4,821"
Sudan,32,33,66,66,107,140,140,162,174,213,237,275,318,375,442,442,592,592,678,778,852,930,"1,111","1,164","1,365","1,526","1,661","1,818","1,818","1,964","2,289","2,289","2,591","2,728","2,728","3,138","3,378","3,378","3,628","3,820","3,976","4,146","4,346","4,521","4,800","5,026","5,173","5,310","5,499","5,714","5,865","6,081","6,081","6,242","6,427","6,582","6,582","6,879","7,007","7,220","7,435","7,740","8,020","8,020","8,316","8,416","8,580","8,698","8,889","8,889","8,984","9,257","9,257","9,257","9,257","9,257","9,573","9,573","9,663","9,663","9,767","9,894","9,997","10,084","10,158","10,204","10,250","10,250","10,316","10,417","10,527","10,527","10,599","10,682","10,992","10,992","10,992","11,237","11,237","11,302","11,385","11,385","11,424","11,496","11,496","11,496","11,644","11,738","11,738","11,738","11,780","11,780","11,780","11,894","11,894","11,956","11,956","12,033","12,033","12,115"
Paraguay,174,199,202,206,208,208,213,213,220,223,228,228,230,239,249,266,333,370,396,431,440,462,563,689,713,724,737,740,754,759,778,786,788,829,833,836,838,850,862,865,877,884,900,917,964,986,995,"1,013","1,070","1,086","1,087","1,090","1,135","1,145","1,187","1,202","1,230","1,254","1,261","1,289","1,296","1,303","1,308","1,330","1,336","1,362","1,379","1,392","1,422","1,528","1,569","1,711","1,942","2,127","2,191","2,221","2,260","2,303","2,349","2,385","2,427","2,456","2,502","2,554","2,638","2,736","2,820","2,948","2,980","3,074","3,198","3,342","3,457","3,629","3,721","3,748","3,817","4,000","4,113","4,224","4,328","4,444","4,548","4,674","4,866","5,207","5,338","5,485","5,644","5,724","5,852","6,060","6,375","6,508","6,705","6,907","7,234","7,519","8,018","8,389"
Maldives,25,29,35,52,69,86,86,108,129,177,214,226,250,278,468,491,519,527,541,573,617,648,744,790,835,897,904,955,982,"1,031","1,078","1,094","1,106","1,143","1,186","1,216","1,274","1,313","1,371","1,395","1,438","1,457","1,513","1,591","1,672","1,773","1,829","1,841","1,850","1,872","1,883","1,901","1,903","1,916","1,942","1,962","1,976","2,003","2,013","2,035","2,065","2,094","2,120","2,137","2,150","2,187","2,203","2,217","2,238","2,261","2,277","2,283","2,305","2,324","2,337","2,361","2,382","2,400","2,410","2,435","2,468","2,491","2,501","2,517","2,553","2,617","2,664","2,731","2,762","2,801","2,831","2,899","2,913","2,930","2,966","2,999","3,044","3,103","3,120","3,175","3,252","3,302","3,369","3,506","3,567","3,719","3,793","3,949","4,164","4,293","4,446","4,594","4,680","4,769","4,898","5,041","5,157","5,223","5,366","5,494"
Congo,117,143,143,143,160,165,186,186,200,200,200,207,207,207,220,229,229,229,236,236,264,264,274,274,274,333,333,333,391,391,391,391,412,420,420,469,469,487,487,487,487,571,571,571,571,611,611,611,611,611,635,683,683,683,728,728,728,728,728,728,883,883,883,883,883,883,883,"1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,382","1,382","1,557","1,557","1,557","1,557","1,557","1,821","1,821","2,028","2,028","2,028","2,028","2,028","2,222","2,358","2,633","2,633","2,633","2,851","2,851","2,851","2,851","3,038","3,038","3,038","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,546","3,546","3,546","3,546","3,637","3,664","3,664","3,664","3,745","3,745","3,745"
Rwanda,138,143,144,147,147,150,153,154,176,183,191,207,212,225,243,249,255,259,261,261,268,271,273,280,284,285,286,287,287,287,289,292,297,308,314,320,321,325,327,336,339,346,349,355,359,370,377,384,397,410,420,431,439,451,463,476,494,510,541,582,612,636,639,646,661,702,728,787,798,830,850,858,878,900,"1,001","1,025","1,042","1,063","1,081","1,092","1,105","1,113","1,172","1,194","1,210","1,252","1,299","1,337","1,378","1,416","1,435","1,473","1,485","1,539","1,582","1,629","1,655","1,689","1,710","1,729","1,752","1,821","1,879","1,926","1,963","1,994","2,022","2,042","2,062","2,092","2,099","2,104","2,111","2,128","2,134","2,140","2,152","2,171","2,189","2,200"
Faeroe Islands,184,184,184,185,185,185,185,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,188,188,188,188,188,188,188,188,188,188,188,188,188,191,191,191,191,191,191,192,214,214,220,220,225,225,225,225,225,227,241,266,291,295,303,306,318,339,362
Gabon,80,108,108,109,120,156,166,167,172,176,176,211,238,276,276,276,335,335,367,397,397,504,620,661,661,802,863,"1,004","1,104","1,209","1,320","1,320","1,432","1,502","1,567","1,567","1,728","1,934","1,934","2,135","2,238","2,319","2,431","2,613","2,655","2,655","2,655","2,803","2,902","2,955","3,101","3,101","3,101","3,101","3,247","3,294","3,463","3,463","3,463","3,463","4,033","4,114","4,229","4,340","4,428","4,428","4,428","4,739","4,849","4,956","5,087","5,209","5,209","5,209","5,394","5,394","5,513","5,513","5,620","5,620","5,620","5,743","5,743","5,871","5,871","5,942","5,942","5,942","6,026","6,026","6,121","6,121","6,315","6,315","6,315","6,433","6,433","6,588","6,588","6,984","6,984","6,984","7,189","7,189","7,352","7,352","7,352","7,531","7,531","7,646","7,646","7,787","7,787","7,923","7,923","7,923","8,006","8,006","8,077","8,077"
Martinique,158,158,163,163,163,163,164,164,170,175,175,175,175,175,178,179,179,179,181,181,182,183,186,186,186,187,187,189,189,192,192,192,192,192,192,192,197,197,197,197,197,197,197,200,200,200,200,200,200,200,202,202,202,202,202,202,202,202,202,202,202,202,202,221,236,236,236,236,236,236,236,242,242,242,242,242,242,242,249,249,249,249,249,249,249,255,255,255,255,255,255,255,255,262,262,262,262,262,262,269,269,269,269,269,269,269,269,269,269,269,269,269,276,336,336,336,336,336,336,336
Guadeloupe,145,145,148,148,148,148,148,148,149,149,149,149,149,149,151,152,152,152,152,152,152,153,154,154,154,154,155,155,155,155,155,155,155,155,155,155,156,156,161,161,161,161,161,162,162,162,162,162,162,162,164,164,164,164,164,164,164,171,171,171,171,171,171,171,174,174,174,174,174,174,174,182,182,182,182,182,182,182,184,184,184,184,184,184,184,190,190,190,190,190,190,190,195,195,195,195,195,195,195,203,203,203,203,203,244,244,265,265,265,272,272,279,279,290,290,290,317,317,367,367
Myanmar,85,88,98,111,119,121,123,132,144,144,146,146,150,150,150,151,151,155,161,161,161,176,177,178,180,180,180,181,181,181,182,184,188,193,199,199,199,201,201,203,206,206,206,207,224,224,228,232,233,236,236,240,242,244,246,248,260,261,261,261,262,262,262,263,286,287,290,290,292,293,293,293,293,299,299,299,303,304,306,313,313,316,316,317,319,326,330,331,336,337,337,339,339,340,341,341,341,343,343,346,348,350,350,350,351,353,353,353,353,355,355,357,357,359,359,360,360,360,361,369
Gibraltar,131,132,132,132,132,132,132,133,133,136,141,141,141,141,144,144,144,144,144,144,144,144,146,146,146,147,148,147,147,147,147,147,147,147,149,151,151,152,154,154,154,157,158,161,169,170,170,172,173,173,174,175,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,177,177,177,177,178,178,178,178,179,179,179,179,180,180,180,180,180,180,180,180,180,180,180,180,180,182,184,184,185,185,185,186,186,187,187,188,188,188,189,189,190,190,197,201,201,202,203,205
Brunei,136,136,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,139,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,142,142,142,142,142,142,142
Liberia,59,76,76,91,99,101,101,101,117,120,124,124,141,141,141,152,154,158,166,170,178,189,199,199,199,211,211,213,215,219,223,226,229,233,238,240,249,255,265,265,266,266,269,273,280,288,296,311,316,321,334,345,359,370,383,397,410,421,446,458,498,509,516,542,581,601,626,650,652,662,681,684,729,768,770,780,804,819,833,869,874,891,917,926,957,963,998,"1,010","1,024","1,024","1,056","1,070","1,085","1,088","1,091","1,107","1,108","1,114","1,117","1,135","1,155","1,162","1,167","1,177","1,179","1,181","1,186","1,189","1,207","1,214","1,216","1,221","1,224","1,230","1,234","1,237","1,240","1,250","1,252","1,252"
Madagascar,111,117,120,121,121,121,121,121,122,123,124,128,128,128,128,132,135,149,149,151,158,193,193,193,193,186,186,212,230,238,283,304,322,326,371,405,448,488,527,542,586,612,656,698,758,771,826,845,908,957,975,"1,026","1,052","1,094","1,138","1,162","1,203","1,230","1,252","1,272","1,290","1,317","1,378","1,403","1,443","1,503","1,596","1,640","1,724","1,787","1,829","1,922","2,005","2,078","2,138","2,214","2,303","2,403","2,512","2,728","2,941","3,250","3,472","3,573","3,782","4,143","4,578","4,867","5,080","5,343","5,605","6,089","6,467","6,849","7,049","7,153","7,548","8,162","8,381","8,741","8,866","9,295","9,690","10,104","10,317","10,748","10,868","11,273","11,528","11,660","11,895","12,222","12,526","12,708","12,922","13,086","13,202","13,317","13,397","13,522"
Ethiopia,92,96,105,108,111,114,116,116,117,122,123,124,126,130,131,133,133,135,140,145,162,191,194,210,239,250,261,263,272,287,306,317,352,365,389,399,433,494,582,655,701,731,831,968,"1,063","1,172","1,257","1,344","1,486","1,636","1,805","1,934","2,020","2,156","2,336","2,506","2,670","2,915","3,166","3,345","3,521","3,630","3,759","3,954","4,070","4,469","4,532","4,663","4,848","5,034","5,175","5,425","5,570","5,689","5,846","5,846","5,846","5,846","5,846","5,846","5,846","5,846","5,846","6,774","6,973","7,120","7,402","7,560","7,766","7,969","8,181","8,475","8,803","9,147","9,503","10,207","11,072","11,524","11,933","12,693","13,248","13,968","14,547","15,200","15,810","16,615","17,530","17,999","18,706","19,289","19,877","20,336","20,900","21,452","22,253","22,818","23,591","24,175","25,118","26,204"
Cambodia,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,123,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,126,126,126,126,126,126,126,128,128,128,128,129,129,129,129,129,130,130,130,130,139,141,141,141,141,141,141,141,141,141,141,141,141,141,141,156,156,165,165,166,171,171,171,171,197,197,198,202,225,225,225,226,226,234,234,239,240,240,240,243,243,243,246,248,251,266,268,272
Trinidad and Tobago,114,114,114,114,114,115,115,115,115,115,115,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,123,123,123,123,123,123,123,123,123,123,123,123,124,126,126,126,130,130,130,130,130,133,133,133,133,133,133,133,133,133,133,133,133,136,137,137,137,139,141,141,142,147,147,148,153,156,164,169,173,182,182,194,199,210,225,275,279,281,300,326,404
French Guiana,86,96,96,96,97,97,107,107,111,111,111,111,125,125,126,128,128,128,133,133,138,138,141,141,144,144,144,153,164,189,197,197,210,218,237,249,261,279,328,353,384,406,436,450,477,499,499,517,533,556,589,639,689,729,773,865,917,"1,043","1,161","1,255","1,326","1,421","1,554","1,758","1,969","2,163","2,441","2,458","2,593","2,827","3,033","3,270","3,461","3,461","3,774","4,004","4,268","4,444","4,558","4,913","4,913","5,054","5,178","5,459","5,558","5,704","5,949","5,949","6,170","6,229","6,299","6,393","6,509","6,655","6,655","6,745","6,851","6,883","7,086","7,251","7,332","7,332","7,514","7,562","7,647","7,728","7,799","7,857","7,857","7,948","7,998","8,069","8,127","8,204","8,267","8,267","8,324","8,360","8,423","8,471"
Bermuda,81,83,83,86,86,98,99,99,99,109,109,110,110,111,114,114,114,115,115,115,118,118,118,118,118,119,121,121,122,122,123,123,125,125,125,125,128,128,133,133,139,139,140,140,140,140,141,141,141,141,141,141,141,141,141,141,141,141,142,142,144,144,144,144,144,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,148,149,149,150,150,150,150,150,150,152,152,153,153,153,153,153,153,153,153,153,154,156,156,156,156,156,157,157,157,157,157,157,157,158,158,159,159,159
Cabo Verde,56,56,58,61,67,68,73,82,88,90,106,109,114,114,121,122,152,165,175,186,191,218,230,236,246,260,267,289,315,326,328,328,328,335,349,356,362,371,380,390,390,390,390,405,421,435,458,466,477,502,536,542,554,567,585,615,657,697,726,750,760,781,792,823,848,863,890,944,982,999,"1,003","1,027","1,091","1,155","1,165","1,227","1,267","1,301","1,382","1,421","1,451","1,463","1,499","1,542","1,552","1,591","1,623","1,623","1,698","1,722","1,780","1,894","1,939","2,014","2,045","2,071","2,107","2,154","2,190","2,220","2,258","2,307","2,328","2,354","2,373","2,418","2,451","2,480","2,547","2,583","2,631","2,689","2,734","2,780","2,835","2,858","2,883","2,920","3,000","3,073"
Aruba,95,96,96,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,103,103,103,104,104,105,105,105,105,105,105,105,105,105,105,106,106,108,111,111,113,115,117,117,117,118,119,119,119,119,119,120,121,121,122,124,132,171,263,396,509,563,630,717,798,894
Togo,81,83,84,84,84,86,88,88,90,96,98,98,99,109,116,123,123,124,126,128,128,135,145,153,174,181,199,219,238,263,298,301,330,338,340,354,363,373,381,386,391,395,422,428,433,442,443,445,452,465,485,487,495,497,501,522,524,525,530,530,531,537,544,547,555,561,569,569,576,583,588,591,615,642,643,650,661,667,671,676,680,680,689,695,704,710,710,720,721,731,740,749,766,774,778,783,790,806,828,839,853,868,874,896,896,908,941,958,961,976,988,"1,001","1,012","1,028","1,046","1,060","1,067","1,070","1,092","1,104"
Monaco,93,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,96,96,97,97,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,101,101,102,102,102,103,103,103,103,103,106,106,106,108,108,108,108,108,108,109,109,109,109,109,109,109,109,109,109,111,112,114,116,116,116,116,117,120,120,120,120,120,121,123,125,125,128,131,133,133,138,141,144
Sierra Leone,15,26,30,35,43,50,61,64,82,82,93,99,104,104,124,136,155,166,178,199,225,231,257,291,307,338,338,387,408,447,462,505,519,534,570,585,606,621,707,735,754,782,812,829,852,861,865,896,909,914,929,946,969,"1,001","1,025","1,062","1,085","1,103","1,132","1,169","1,176","1,225","1,249","1,272","1,298","1,309","1,327","1,340","1,347","1,354","1,354","1,394","1,410","1,427","1,450","1,462","1,498","1,518","1,524","1,533","1,542","1,547","1,572","1,584","1,598","1,613","1,618","1,635","1,642","1,651","1,668","1,678","1,688","1,701","1,711","1,711","1,727","1,731","1,752","1,765","1,768","1,783","1,783","1,786","1,803","1,818","1,823","1,823","1,843","1,848","1,855","1,860","1,877","1,887","1,895","1,916","1,917","1,932","1,937","1,940"
Zambia,48,52,57,61,65,70,74,76,84,84,88,89,95,97,106,109,119,124,137,138,146,153,167,252,267,267,441,446,654,654,679,753,761,772,832,866,920,920,920,920,920,"1,057","1,057","1,057","1,057","1,057","1,089","1,089","1,089","1,089","1,089","1,089","1,089","1,200","1,200","1,200","1,200","1,321","1,357","1,358","1,382","1,405","1,412","1,416","1,430","1,430","1,430","1,430","1,477","1,489","1,497","1,531","1,531","1,557","1,568","1,594","1,632","1,632","1,632","1,632","1,632","1,632","1,895","1,895","1,895","1,895","1,895","1,895","1,895","1,895","1,895","2,620","2,810","2,980","3,148","3,326","3,386","3,583","3,789","3,856","4,328","4,481","4,552","5,002","5,249","5,555","5,963","6,228","6,347","6,580","6,793","7,022","7,164","7,486","7,903","8,085","8,210","8,275","8,501","8,663"
Liechtenstein,79,79,79,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,82,82,82,82,82,82,82,82,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,85,86,86,86,86,86,86,86,86,86,86,87,88,88,88,88,89,89,89,89,89,89,89,89,89,89,90,90
Bahamas,53,54,55,60,60,65,65,72,73,78,80,80,80,80,81,81,83,83,83,89,92,92,92,92,92,93,93,94,96,96,96,96,96,96,97,97,97,100,100,100,100,100,100,102,102,102,102,102,102,102,102,103,103,103,103,103,103,103,103,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,107,111,111,111,113,119,124,129,138,153,174,194,219,274,316,326,342,382,447,484,508,574,599,648,679,715,751,761,830,878,898,945,989,"1,036","1,089"
Barbados,75,75,75,75,75,75,76,76,77,79,79,80,80,80,81,81,81,81,82,82,82,82,83,84,84,84,85,85,85,85,86,88,88,88,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,103,103,103,103,104,104,104,104,105,106,106,106,106,108,108,110,110,110,110,110,110,122,132,132,132,133,133,138,138,142,142,143,144,144
Uganda,55,55,55,55,56,61,63,74,75,75,79,79,79,81,83,85,88,89,97,98,100,101,101,116,121,121,126,139,160,203,227,227,248,260,264,160,175,198,198,222,253,281,317,329,413,417,457,489,507,522,557,593,616,646,657,665,679,686,694,696,705,724,732,741,755,763,770,774,797,805,821,833,848,859,870,889,893,902,911,927,939,953,971,977,"1,000","1,006","1,013","1,025","1,029","1,040","1,043","1,051","1,056","1,062","1,065","1,069","1,075","1,075","1,079","1,089","1,103","1,115","1,128","1,135","1,140","1,147","1,154","1,176","1,182","1,195","1,203","1,213","1,223","1,254","1,267","1,283","1,297","1,313","1,332","1,353"
Mozambique,31,34,35,39,39,39,41,46,65,70,76,76,76,76,76,79,79,80,80,81,81,81,82,87,91,103,104,104,115,119,129,137,145,146,156,162,164,168,194,209,213,227,233,234,244,254,254,307,316,352,354,409,424,433,453,472,489,509,553,583,609,638,651,662,668,688,733,737,757,762,788,816,816,859,883,889,903,918,939,969,987,"1,012","1,040","1,071","1,092","1,111","1,135","1,157","1,219","1,268","1,330","1,383","1,402","1,435","1,491","1,507","1,536","1,557","1,582","1,590","1,616","1,669","1,701","1,720","1,748","1,808","1,864","1,907","1,946","1,973","2,029","2,079","2,120","2,213","2,241","2,269","2,411","2,481","2,559","2,638"
Sint Maarten,57,57,64,67,67,68,71,73,73,73,74,74,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,81,84,93,114,114,114,115,126,128,128,146,146,150,156,160,176,177,189,189,205,219,248
Guyana,55,63,63,65,65,66,67,70,73,73,74,74,74,74,82,82,82,82,92,92,93,93,94,94,104,109,113,113,113,116,117,117,124,125,125,127,127,127,135,137,139,139,150,150,152,153,153,153,153,153,153,154,154,154,156,156,158,159,159,159,159,171,171,183,183,183,184,205,206,209,215,215,230,230,235,245,248,250,256,272,273,273,284,284,286,290,291,297,300,308,313,315,320,327,336,337,339,350,351,352,360,370,389,396,398,401,413,430,474,474,497,509,538,538,554,568,568,602,623,631
Haiti,41,43,44,47,57,57,62,72,72,72,74,74,76,76,81,85,85,85,100,101,101,129,146,151,182,182,209,219,234,273,358,456,533,533,596,663,734,812,865,958,"1,063","1,174","1,320","1,443","1,584","1,865","2,124","2,226","2,507","2,640","2,740","3,072","3,072","3,334","3,538","3,662","3,796","3,941","3,941","4,165","4,309","4,441","4,547","4,688","4,916","4,980","5,077","5,211","5,211","5,324","5,429","5,543","5,722","5,777","5,847","5,933","5,975","6,040","6,101","6,230","6,294","6,333","6,371","6,432","6,486","6,582","6,617","6,690","6,727","6,727","6,831","6,902","6,948","6,975","7,053","7,053","7,100","7,146","7,167","7,197","7,260","7,297","7,315","7,340","7,371","7,378","7,412","7,424","7,468","7,476","7,511","7,532","7,544","7,582","7,599","7,611","7,634","7,649","7,743","7,781"
