Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
North Macedonia,"1,081","1,117","1,170","1,207","1,225","1,231","1,259","1,300","1,326","1,367","1,386","1,399","1,421","1,442","1,465","1,494","1,506","1,511","1,518","1,526","1,539","1,572","1,586","1,622","1,642","1,664","1,674","1,694","1,723","1,740","1,762","1,792","1,817","1,839","1,858","1,898","1,921","1,941","1,978","1,999","2,014","2,039","2,077","2,129","2,164","2,226","2,315","2,391","2,492","2,611","2,790","2,915","3,025","3,152","3,239","3,364","3,538","3,701","3,895","4,057","4,157","4,299","4,482","4,664","4,820","5,005","5,106","5,196","5,311","5,445","5,595","5,758","5,906","6,080","6,209","6,334","6,454","6,625","6,787","6,932","7,046","7,124","7,244","7,406","7,572","7,777","7,975","8,111","8,197","8,332","8,530","8,623","8,786","9,026","9,153","9,249","9,412","9,547","9,669","9,797","9,934","10,086","10,213","10,315","10,503","10,617","10,754","10,891","11,054","11,128","11,202","11,289","11,399","11,554","11,754","11,839","11,942","12,083","12,217","12,357","12,515","12,653","12,739","12,840","12,970","13,076","13,194","13,308","13,458","13,595","13,673","13,799","13,914","14,004","14,163","14,293","14,330","14,341","14,455","14,600","14,762","14,871","14,998","15,090","15,127","15,226","15,293","15,414","15,554","15,694","15,791","15,827","15,925","16,088","16,274","16,417","16,557","16,735","16,780","16,867","17,049","17,200","17,343","17,483","17,629","17,674","17,786","17,977","18,138","18,363","18,602","18,790","18,873","19,096","19,413","19,777","20,163","20,555","20,937","21,113","21,193","21,636","22,170","22,607","23,201","23,628","23,788","24,196","24,836","25,473","25,991","26,394","26,954","27,199","27,827","28,697","29,558","30,488","31,572","32,436"
Slovakia,977,"1,049","1,089","1,161","1,173","1,199","1,244","1,325","1,360","1,373","1,379","1,381","1,384","1,391","1,396","1,403","1,407","1,408","1,413","1,421","1,429","1,445","1,455","1,455","1,457","1,457","1,465","1,469","1,477","1,480","1,493","1,494","1,495","1,495","1,496","1,502","1,503","1,504","1,509","1,511","1,513","1,515","1,520","1,520","1,521","1,521","1,522","1,522","1,525","1,526","1,526","1,528","1,528","1,530","1,531","1,533","1,541","1,542","1,545","1,548","1,552","1,552","1,561","1,562","1,576","1,586","1,587","1,588","1,589","1,607","1,630","1,643","1,657","1,664","1,665","1,667","1,687","1,700","1,720","1,749","1,764","1,765","1,767","1,798","1,851","1,870","1,893","1,901","1,902","1,908","1,927","1,951","1,965","1,976","1,979","1,980","2,021","2,058","2,089","2,118","2,141","2,179","2,181","2,204","2,245","2,265","2,292","2,337","2,344","2,354","2,368","2,417","2,480","2,523","2,566","2,596","2,599","2,615","2,690","2,739","2,801","2,855","2,902","2,907","2,922","3,022","3,102","3,225","3,316","3,356","3,424","3,452","3,536","3,626","3,728","3,842","3,876","3,917","3,989","4,042","4,163","4,300","4,526","4,614","4,636","4,727","4,888","5,066","5,252","5,453","5,532","5,580","5,768","5,860","6,021","6,256","6,546","6,677","6,756","6,931","7,269","7,629","8,048","8,600","9,078","9,343","9,574","10,141","10,938","11,617","12,321","13,139","13,492","13,812","14,689","15,726","16,910","18,797","19,851","20,355","20,886","22,296","24,225","26,300","28,268","29,835","30,695","31,400","33,602","35,330","37,911","40,801","43,843","45,155","46,056","48,943","51,728","55,091","57,664","59,946"
Cuba,862,923,986,"1,035","1,087","1,137","1,189","1,235","1,285","1,337","1,369","1,389","1,437","1,467","1,501","1,537","1,611","1,649","1,668","1,685","1,703","1,729","1,741","1,754","1,766","1,783","1,804","1,810","1,830","1,840","1,862","1,872","1,881","1,887","1,900","1,908","1,916","1,931","1,941","1,947","1,963","1,974","1,983","2,005","2,025","2,045","2,083","2,092","2,107","2,119","2,133","2,173","2,191","2,200","2,205","2,211","2,219","2,233","2,238","2,248","2,262","2,273","2,280","2,295","2,305","2,309","2,312","2,315","2,318","2,319","2,321","2,325","2,330","2,332","2,340","2,341","2,348","2,353","2,361","2,369","2,372","2,380","2,395","2,399","2,403","2,413","2,420","2,426","2,428","2,432","2,438","2,440","2,444","2,445","2,446","2,446","2,449","2,462","2,466","2,469","2,478","2,495","2,532","2,555","2,588","2,597","2,608","2,633","2,646","2,670","2,701","2,726","2,775","2,829","2,888","2,953","3,046","3,093","3,128","3,174","3,229","3,292","3,316","3,364","3,408","3,482","3,565","3,582","3,617","3,682","3,717","3,744","3,759","3,806","3,866","3,925","3,973","4,032","4,065","4,126","4,214","4,266","4,298","4,309","4,352","4,377","4,459","4,551","4,593","4,653","4,684","4,726","4,803","4,876","4,933","5,004","5,055","5,091","5,141","5,222","5,270","5,310","5,350","5,412","5,457","5,483","5,531","5,597","5,670","5,718","5,780","5,809","5,845","5,883","5,898","5,917","5,943","5,948","5,978","6,000","6,017","6,035","6,062","6,118","6,170","6,220","6,258","6,305","6,368","6,421","6,479","6,534","6,566","6,595","6,678","6,727","6,766","6,801","6,887","6,935"
Bulgaria,800,846,878,894,929,975,"1,024","1,097","1,188","1,247","1,300","1,363","1,399","1,447","1,506","1,555","1,594","1,618","1,652","1,704","1,778","1,829","1,872","1,921","1,965","1,990","2,023","2,069","2,100","2,138","2,175","2,211","2,235","2,259","2,292","2,331","2,372","2,408","2,427","2,433","2,443","2,460","2,477","2,485","2,499","2,513","2,519","2,538","2,560","2,593","2,627","2,711","2,711","2,810","2,889","2,993","3,086","3,191","3,266","3,290","3,341","3,453","3,542","3,674","3,755","3,872","3,905","3,984","4,114","4,242","4,408","4,513","4,625","4,691","4,831","4,989","5,154","5,315","5,497","5,677","5,740","5,914","6,102","6,342","6,672","6,964","7,175","7,252","7,411","7,645","7,877","8,144","8,442","8,638","8,733","8,929","9,254","9,584","9,853","10,123","10,312","10,427","10,621","10,871","11,155","11,420","11,690","11,836","11,955","12,159","12,414","12,717","13,014","13,209","13,343","13,396","13,512","13,722","13,893","14,069","14,243","14,333","14,365","14,500","14,669","14,820","14,962","15,131","15,227","15,287","15,386","15,589","15,751","15,908","16,065","16,164","16,190","16,266","16,454","16,617","16,775","16,954","17,050","17,089","17,146","17,313","17,435","17,598","17,799","17,891","17,918","18,061","18,216","18,390","18,544","18,733","18,819","18,863","19,014","19,123","19,283","19,573","19,828","19,997","20,055","20,271","20,547","20,833","21,096","21,336","21,518","21,587","21,870","22,306","22,743","23,259","23,871","24,319","24,402","24,989","25,774","26,593","27,507","28,505","29,108","29,503","30,527","31,863","33,335","34,930","36,519","37,562","37,889","40,132","42,701","45,461","48,150","51,041","52,844","54,069"
Nigeria,442,493,542,627,665,782,873,981,"1,095","1,182","1,273","1,337","1,532","1,728","1,932","2,170","2,388","2,558","2,802","2,950","3,145","3,526","3,912","4,151","4,399","4,641","4,787","4,971","5,162","5,450","5,621","5,959","6,175","6,401","6,677","7,016","7,261","7,526","7,839","8,068","8,344","8,733","8,915","9,302","9,855","10,162","10,578","10,819","11,166","11,516","11,844","12,233","12,486","12,801","13,464","13,873","14,554","15,181","15,682","16,085","16,658","17,148","17,735","18,480","19,147","19,808","20,244","20,919","21,371","22,020","22,614","23,298","24,077","24,567","25,133","25,694","26,484","27,110","27,564","28,167","28,711","29,286","29,789","30,249","30,748","31,323","31,987","32,558","33,153","33,616","34,259","34,854","35,454","36,107","36,663","37,225","37,801","38,344","38,948","39,539","39,977","40,532","41,180","41,804","42,208","42,689","43,151","43,537","43,841","44,129","44,433","44,890","45,244","45,687","46,140","46,577","46,867","47,290","47,743","48,116","48,445","48,770","49,068","49,485","49,895","50,488","50,964","51,304","51,905","52,227","52,548","52,800","53,021","53,317","53,477","53,727","53,865","54,008","54,247","54,463","54,588","54,743","54,905","55,005","55,160","55,456","55,632","55,829","56,017","56,177","56,256","56,388","56,478","56,604","56,735","56,956","57,145","57,242","57,437","57,613","57,724","57,849","58,062","58,198","58,324","58,460","58,647","58,848","59,001","59,127","59,287","59,345","59,465","59,583","59,738","59,841","59,992","60,103","60,266","60,430","60,655","60,834","60,982","61,194","61,307","61,440","61,558","61,630","61,667","61,805","61,882","61,930","61,992","62,111","62,224","62,371","62,521","62,691","62,853","62,964"
Ivory Coast,654,688,801,847,879,916,952,"1,004","1,077","1,077","1,150","1,164","1,183","1,238","1,275","1,333","1,362","1,398","1,432","1,464","1,516","1,571","1,602","1,667","1,700","1,730","1,857","1,912","1,971","2,017","2,061","2,109","2,119","2,153","2,231","2,301","2,341","2,366","2,376","2,423","2,477","2,556","2,641","2,750","2,799","2,833","2,951","3,024","3,110","3,262","3,431","3,557","3,739","3,881","3,995","4,181","4,404","4,684","4,848","5,084","5,439","5,679","6,063","6,444","6,874","7,276","7,492","7,677","7,904","8,164","8,334","8,739","8,944","9,101","9,214","9,499","9,702","9,992","10,244","10,462","10,772","10,966","11,194","11,504","11,750","12,052","12,443","12,766","12,872","13,037","13,403","13,554","13,696","13,912","14,119","14,312","14,531","14,733","15,001","15,253","15,494","15,596","15,655","15,713","15,813","15,978","16,047","16,109","16,182","16,220","16,293","16,349","16,447","16,524","16,620","16,715","16,798","16,847","16,847","16,889","16,935","16,993","17,026","17,107","17,150","17,232","17,249","17,310","17,374","17,471","17,506","17,562","17,603","17,702","17,797","17,893","17,948","18,067","18,103","18,161","18,208","18,269","18,472","18,588","18,701","18,778","18,815","18,869","18,916","18,916","19,013","19,066","19,100","19,132","19,158","19,200","19,269","19,320","19,327","19,343","19,430","19,501","19,556","19,600","19,629","19,641","19,669","19,724","19,755","19,793","19,849","19,882","19,885","19,903","19,935","19,982","20,036","20,128","20,154","20,155","20,183","20,217","20,257","20,275","20,301","20,323","20,324","20,342","20,363","20,390","20,405","20,429","20,470","20,486","20,488","20,555","20,628","20,692","20,716","20,716"
Hong Kong,"1,018","1,022","1,024","1,026","1,026","1,030","1,034","1,036","1,036","1,038","1,038","1,038","1,038","1,038","1,038","1,040","1,040","1,040","1,041","1,041","1,041","1,045","1,045","1,045","1,048","1,048","1,048","1,051","1,052","1,053","1,053","1,056","1,056","1,056","1,056","1,064","1,066","1,066","1,066","1,066","1,066","1,067","1,067","1,080","1,083","1,085","1,088","1,094","1,094","1,099","1,103","1,106","1,107","1,108","1,108","1,108","1,108","1,109","1,110","1,110","1,113","1,113","1,121","1,125","1,128","1,129","1,132","1,162","1,178","1,180","1,194","1,197","1,198","1,200","1,204","1,206","1,234","1,243","1,248","1,259","1,269","1,286","1,300","1,324","1,366","1,404","1,433","1,470","1,522","1,570","1,589","1,656","1,714","1,778","1,886","1,959","2,020","2,132","2,250","2,373","2,506","2,634","2,779","2,885","3,003","3,152","3,273","3,397","3,512","3,590","3,670","3,755","3,850","3,939","4,008","4,080","4,149","4,182","4,244","4,313","4,361","4,407","4,481","4,525","4,561","4,587","4,605","4,632","4,658","4,683","4,692","4,711","4,736","4,756","4,769","4,787","4,802","4,811","4,823","4,831","4,839","4,851","4,858","4,879","4,890","4,896","4,902","4,914","4,926","4,939","4,958","4,972","4,976","4,985","4,994","4,997","5,010","5,033","5,039","5,047","5,050","5,057","5,059","5,060","5,066","5,076","5,080","5,088","5,098","5,105","5,109","5,114","5,125","5,133","5,144","5,162","5,170","5,176","5,183","5,194","5,202","5,202","5,214","5,221","5,238","5,242","5,257","5,262","5,270","5,281","5,285","5,290","5,296","5,304","5,309","5,311","5,314","5,321","5,324","5,331"
Djibouti,591,732,732,846,846,945,974,986,999,"1,008","1,023","1,035","1,072","1,077","1,089","1,097","1,112","1,112","1,116","1,120","1,124","1,133","1,135","1,189","1,210","1,227","1,256","1,268","1,284","1,309","1,331","1,401","1,518","1,618","1,828","2,047","2,270","2,270","2,270","2,468","2,468","2,697","2,914","2,914","3,194","3,354","3,569","3,779","3,935","4,054","4,123","4,169","4,207","4,278","4,331","4,373","4,398","4,441","4,449","4,465","4,501","4,539","4,545","4,557","4,565","4,565","4,582","4,599","4,617","4,630","4,635","4,643","4,643","4,643","4,656","4,682","4,704","4,715","4,736","4,736","4,792","4,822","4,878","4,889","4,955","4,968","4,968","4,972","4,977","4,979","4,985","4,993","5,003","5,003","5,011","5,020","5,027","5,030","5,031","5,039","5,039","5,050","5,059","5,068","5,081","5,081","5,084","5,084","5,161","5,240","5,248","5,330","5,330","5,338","5,338","5,344","5,347","5,348","5,358","5,358","5,367","5,367","5,369","5,372","5,374","5,374","5,374","5,382","5,382","5,382","5,383","5,383","5,383","5,383","5,383","5,385","5,385","5,387","5,387","5,387","5,387","5,387","5,387","5,388","5,388","5,388","5,391","5,394","5,394","5,394","5,395","5,396","5,396","5,399","5,399","5,403","5,403","5,403","5,404","5,407","5,407","5,407","5,409","5,409","5,409","5,410","5,416","5,416","5,417","5,417","5,418","5,419","5,421","5,423","5,423","5,423","5,423","5,423","5,423","5,426","5,428","5,440","5,443","5,449","5,452","5,459","5,469","5,499","5,512","5,522","5,528","5,530","5,536","5,541","5,544","5,555","5,558","5,559","5,561","5,563"
Guinea,438,477,518,579,622,688,761,862,954,996,996,"1,163","1,240","1,351","1,495","1,537","1,586","1,586","1,710","1,811","1,856","1,927","2,009","2,042","2,146","2,146","2,298","2,374","2,473","2,473","2,658","2,658","2,796","2,863","2,863","3,067","3,067","3,176","3,275","3,275","3,275","3,275","3,553","3,656","3,706","3,706","3,844","3,886","3,933","3,991","4,060","4,117","4,117","4,216","4,258","4,258","4,372","4,426","4,484","4,532","4,572","4,639","4,668","4,841","4,904","4,960","4,988","4,988","5,040","5,174","5,174","5,260","5,291","5,342","5,351","5,391","5,404","5,450","5,521","5,570","5,610","5,610","5,636","5,697","5,881","5,969","6,044","6,141","6,141","6,200","6,276","6,359","6,430","6,491","6,544","6,590","6,652","6,747","6,806","6,867","6,927","7,008","7,055","7,126","7,183","7,242","7,308","7,308","7,317","7,364","7,489","7,575","7,664","7,777","7,875","7,930","7,930","8,018","8,116","8,198","8,260","8,343","8,482","8,620","8,715","8,792","8,876","8,932","8,932","8,967","9,076","9,128","9,167","9,213","9,251","9,251","9,371","9,409","9,479","9,479","9,579","9,649","9,649","9,798","9,816","9,848","9,885","9,946","9,979","10,020","10,045","10,061","10,111","10,154","10,154","10,231","10,286","10,325","10,344","10,387","10,434","10,434","10,478","10,512","10,580","10,598","10,634","10,652","10,652","10,735","10,735","10,754","10,800","10,863","10,863","10,901","10,954","10,996","11,022","11,062","11,134","11,188","11,255","11,362","11,478","11,518","11,518","11,538","11,599","11,635","11,635","11,635","11,635","11,635","11,819","11,819","12,020","12,072","12,072","12,195"
Tunisia,822,864,866,879,884,901,909,918,922,939,949,967,975,980,994,998,"1,009","1,013","1,018","1,022","1,025","1,026","1,030","1,032","1,032","1,032","1,032","1,032","1,032","1,035","1,037","1,037","1,043","1,043","1,045","1,046","1,048","1,048","1,048","1,051","1,051","1,051","1,068","1,071","1,076","1,077","1,084","1,086","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,093","1,094","1,096","1,110","1,125","1,128","1,132","1,146","1,156","1,157","1,159","1,159","1,160","1,162","1,164","1,168","1,169","1,172","1,174","1,175","1,178","1,181","1,186","1,188","1,199","1,205","1,221","1,231","1,240","1,245","1,263","1,302","1,306","1,319","1,327","1,336","1,348","1,374","1,381","1,389","1,394","1,406","1,425","1,443","1,452","1,455","1,468","1,488","1,514","1,535","1,552","1,561","1,565","1,584","1,601","1,642","1,656","1,678","1,697","1,717","1,738","1,780","1,847","1,903","2,023","2,107","2,185","2,314","2,427","2,543","2,607","2,738","2,818","2,893","3,069","3,206","3,323","3,461","3,572","3,685","3,803","3,963","4,196","4,394","4,542","4,776","5,041","5,124","5,417","5,417","5,882","6,259","6,635","6,635","7,382","7,623","8,100","8,570","8,570","9,110","9,736","10,732","11,260","12,479","13,305","14,392","14,392","16,114","16,114","17,405","18,413","18,413","19,721","20,944","22,230","22,230","22,230","24,542","26,899","26,899","31,259","32,556","32,556","32,556","34,790","34,790","34,790","40,542","40,542","42,727","44,450","45,892","45,892","47,214","48,799","48,799","52,399","52,399","54,278","54,278","58,029","59,813","61,115"
Bolivia,441,465,493,520,564,598,609,672,703,807,866,950,"1,014","1,053","1,110","1,167","1,229","1,470","1,594","1,681","1,802","1,886","2,081","2,266","2,437","2,556","2,831","2,964","3,148","3,372","3,577","3,826","4,088","4,263","4,481","4,919","5,187","5,579","5,915","6,263","6,660","7,136","7,768","8,387","8,731","9,592","9,982","10,531","10,991","11,638","12,245","12,728","13,358","13,643","13,949","14,644","15,281","16,165","16,929","17,842","18,459","19,073","19,883","20,685","21,499","22,476","23,512","24,388","25,493","26,389","27,487","28,503","29,423","30,676","31,524","32,125","33,219","34,227","35,528","36,818","38,071","39,297","40,509","41,545","42,984","44,113","45,565","47,200","48,187","49,250","50,867","52,218","54,156","56,102","58,138","59,582","60,991","62,357","64,135","65,252","66,456","68,281","69,429","71,181","72,327","73,534","75,234","76,789","78,793","80,153","81,846","83,361","85,141","86,423","87,891","89,055","89,999","91,635","93,328","95,071","96,459","97,950","99,146","100,344","101,223","103,019","105,050","106,065","107,435","108,427","109,149","110,148","110,999","112,094","113,129","114,409","115,354","115,968","116,598","117,267","117,928","118,781","119,580","120,241","120,769","121,604","122,308","123,345","124,205","125,172","125,982","126,791","127,619","128,286","128,872","129,419","130,051","130,470","130,676","130,986","131,453","131,990","132,618","133,222","133,592","133,901","134,223","134,641","135,311","135,716","136,219","136,569","136,868","137,107","137,468","137,706","137,969","138,226","138,463","138,574","138,695","138,922","139,141","139,319","139,562","139,710","139,771","139,890","140,037","140,228","140,445","140,612","140,779","140,853","140,952","141,124","141,321","141,484","141,631","141,757"
Cyprus,735,750,761,767,772,784,790,795,804,810,817,822,837,843,850,857,864,872,874,878,883,889,891,892,898,901,903,905,907,910,914,916,917,918,922,923,927,927,935,937,939,939,941,942,943,944,949,952,958,958,960,960,964,970,972,974,975,980,980,983,985,985,985,985,985,985,986,988,990,991,992,992,994,994,996,998,999,999,999,"1,002","1,003","1,004","1,005","1,008","1,010","1,013","1,014","1,021","1,022","1,023","1,025","1,031","1,033","1,037","1,038","1,038","1,040","1,040","1,045","1,047","1,053","1,057","1,060","1,067","1,080","1,090","1,114","1,124","1,150","1,155","1,180","1,195","1,208","1,222","1,233","1,242","1,252","1,277","1,291","1,305","1,318","1,332","1,339","1,351","1,359","1,385","1,395","1,406","1,417","1,421","1,451","1,474","1,484","1,467","1,481","1,483","1,487","1,488","1,490","1,495","1,498","1,502","1,507","1,509","1,510","1,511","1,514","1,517","1,520","1,523","1,526","1,534","1,540","1,548","1,558","1,565","1,590","1,600","1,603","1,618","1,654","1,663","1,671","1,684","1,696","1,713","1,743","1,755","1,772","1,789","1,811","1,824","1,847","1,876","1,897","1,918","1,951","1,986","2,006","2,047","2,130","2,181","2,285","2,379","2,581","2,644","2,687","2,839","2,966","3,154","3,314","3,444","3,545","3,636","3,817","3,930","4,051","4,217","4,366","4,563"
Latvia,675,682,712,727,739,748,761,778,784,804,812,818,836,849,858,870,871,879,896,896,900,909,928,930,939,946,950,951,962,970,997,"1,008","1,009","1,012","1,016","1,025","1,030","1,046","1,047","1,049","1,053","1,057","1,061","1,064","1,065","1,066","1,066","1,071","1,079","1,082","1,085","1,086","1,088","1,088","1,089","1,092","1,094","1,096","1,097","1,097","1,097","1,098","1,104","1,108","1,110","1,111","1,111","1,111","1,111","1,111","1,111","1,112","1,115","1,116","1,117","1,118","1,121","1,122","1,122","1,123","1,124","1,127","1,134","1,141","1,154","1,165","1,173","1,173","1,174","1,174","1,178","1,179","1,185","1,189","1,192","1,192","1,193","1,197","1,203","1,205","1,206","1,219","1,219","1,220","1,224","1,228","1,231","1,238","1,243","1,246","1,249","1,257","1,275","1,281","1,288","1,290","1,290","1,293","1,303","1,307","1,308","1,315","1,322","1,323","1,323","1,326","1,327","1,330","1,333","1,337","1,337","1,342","1,360","1,366","1,375","1,381","1,393","1,396","1,404","1,406","1,410","1,416","1,425","1,428","1,429","1,432","1,443","1,448","1,459","1,464","1,474","1,477","1,482","1,486","1,494","1,498","1,515","1,525","1,526","1,560","1,572","1,594","1,625","1,654","1,676","1,697","1,729","1,824","1,868","1,945","2,019","2,086","2,126","2,194","2,261","2,370","2,507","2,596","2,670","2,765","2,840","2,942","3,056","3,204","3,392","3,450","3,494","3,609","3,797","3,958","4,208","4,467","4,678","4,757","4,893","5,144","5,395","5,679","5,894","6,136"
Andorra,673,696,704,713,717,717,723,723,731,738,738,743,743,743,745,745,747,748,750,751,751,752,752,754,755,755,758,760,761,761,761,761,761,761,762,762,762,762,762,763,763,763,763,764,764,764,765,844,851,852,852,852,852,852,852,852,852,853,853,853,853,854,854,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,858,861,862,877,880,880,880,884,884,889,889,897,897,897,907,907,918,922,925,925,925,937,939,939,944,955,955,955,963,963,977,981,989,989,989,"1,005","1,005","1,024","1,024","1,045","1,045","1,045","1,060","1,060","1,098","1,098","1,124","1,124","1,124","1,176","1,184","1,199","1,199","1,215","1,215","1,215","1,261","1,261","1,301","1,301","1,344","1,344","1,344","1,438","1,438","1,483","1,483","1,564","1,564","1,564","1,681","1,681","1,753","1,753","1,836","1,836","1,836","1,966","1,966","2,050","2,050","2,110","2,110","2,110","2,370","2,370","2,568","2,568","2,696","2,696","2,696","2,995","2,995","3,190","3,190","3,377","3,377","3,377","3,623","3,623","3,811","3,811","4,038","4,038","4,038","4,325","4,410","4,517","4,567","4,665","4,756","4,825"
Albania,518,539,548,562,584,609,634,663,678,712,726,736,750,766,773,782,789,795,803,820,832,842,850,856,868,872,876,880,898,916,933,946,948,949,964,969,981,989,998,"1,004","1,029","1,050","1,076","1,099","1,122","1,137","1,143","1,164","1,184","1,197","1,212","1,232","1,246","1,263","1,299","1,341","1,385","1,416","1,464","1,521","1,590","1,672","1,722","1,788","1,838","1,891","1,962","1,995","2,047","2,114","2,192","2,269","2,330","2,402","2,466","2,535","2,580","2,662","2,752","2,819","2,893","2,964","3,038","3,106","3,188","3,278","3,371","3,454","3,571","3,667","3,752","3,851","3,906","4,008","4,090","4,171","4,290","4,358","4,466","4,570","4,637","4,763","4,880","4,997","5,105","5,197","5,276","5,396","5,519","5,620","5,750","5,889","6,016","6,151","6,275","6,411","6,536","6,676","6,817","6,971","7,117","7,260","7,380","7,499","7,654","7,812","7,967","8,119","8,275","8,427","8,605","8,759","8,927","9,083","9,195","9,279","9,380","9,513","9,606","9,728","9,844","9,967","10,102","10,255","10,406","10,553","10,704","10,860","11,021","11,185","11,353","11,520","11,672","11,816","11,948","12,073","12,226","12,385","12,535","12,666","12,787","12,921","13,045","13,153","13,259","13,391","13,518","13,649","13,806","13,965","14,117","14,266","14,410","14,568","14,730","14,899","15,066","15,231","15,399","15,570","15,752","15,955","16,212","16,501","16,774","17,055","17,350","17,651","17,948","18,250","18,556","18,858","19,157","19,445","19,729","20,040","20,315","20,634","20,875","21,202"
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Lebanon,663,668,672,673,677,677,682,688,696,704,707,710,717,721,725,729,733,737,740,741,750,784,796,809,845,859,870,878,886,891,902,911,931,954,961,"1,024","1,086","1,097","1,114","1,119","1,140","1,161","1,168","1,172","1,191","1,220","1,233","1,242","1,256","1,306","1,312","1,320","1,331","1,350","1,368","1,388","1,402","1,422","1,442","1,446","1,464","1,473","1,489","1,495","1,510","1,536","1,587","1,603","1,622","1,644","1,662","1,697","1,719","1,740","1,745","1,778","1,788","1,796","1,830","1,855","1,873","1,885","1,907","1,946","2,011","2,082","2,168","2,334","2,419","2,451","2,542","2,599","2,700","2,775","2,859","2,905","2,980","3,104","3,260","3,407","3,582","3,750","3,882","4,023","4,205","4,334","4,555","4,730","4,885","5,062","5,271","5,417","5,672","5,951","6,223","6,517","6,812","7,121","7,413","7,711","8,045","8,442","8,881","9,337","9,758","10,347","10,952","11,580","12,191","12,698","13,155","13,687","14,248","14,937","15,613","16,275","16,870","17,308","17,777","18,375","18,963","19,490","20,011","20,426","20,826","21,324","21,877","22,437","22,983","23,669","24,310","24,857","25,449","26,083","26,768","27,518","28,297","29,303","29,987","30,852","31,792","32,819","33,962","35,242","36,254","37,272","38,377","39,634","40,882","42,173","43,494","44,482","45,657","46,918","48,377","49,744","51,170","52,558","53,568","54,624","55,869","57,246","58,745","60,113","61,284","62,286","62,944","64,336","65,577","67,027","68,479","69,906","71,390","72,186","73,995","75,845","77,778","79,529","81,228","82,617"
Niger,584,627,639,648,648,657,662,671,681,684,696,701,709,713,719,728,736,750,755,763,770,781,795,815,821,832,854,860,876,885,889,904,909,914,920,924,937,943,945,951,952,952,955,955,956,958,958,960,961,963,966,970,973,973,974,974,974,978,980,980,980,"1,016","1,020","1,020","1,020","1,035","1,036","1,046","1,051","1,051","1,056","1,059","1,062","1,074","1,075","1,075","1,075","1,081","1,082","1,082","1,088","1,093","1,094","1,097","1,097","1,099","1,099","1,099","1,099","1,099","1,100","1,102","1,102","1,104","1,104","1,105","1,113","1,122","1,124","1,124","1,124","1,136","1,132","1,132","1,132","1,134","1,134","1,136","1,147","1,152","1,152","1,152","1,153","1,153","1,157","1,158","1,158","1,158","1,161","1,161","1,161","1,165","1,167","1,167","1,167","1,167","1,169","1,172","1,172","1,172","1,172","1,173","1,173","1,173","1,175","1,175","1,175","1,176","1,176","1,176","1,177","1,177","1,177","1,177","1,177","1,178","1,178","1,178","1,178","1,178","1,180","1,180","1,182","1,182","1,183","1,183","1,183","1,188","1,189","1,193","1,193","1,194","1,194","1,194","1,196","1,196","1,196","1,197","1,197","1,198","1,200","1,200","1,200","1,200","1,200","1,201","1,201","1,201","1,201","1,202","1,203","1,205","1,207","1,209","1,209","1,210","1,211","1,212","1,214","1,215","1,215","1,215","1,215","1,215","1,218","1,218","1,219","1,220","1,220","1,221"
