Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
Kyrgyzstan,"4,008","4,008","4,008","4,008","4,008","4,008","4,008","6,072","6,072","6,072","6,994","6,994","6,994","7,783","7,889","7,889","7,889","7,889","8,658","8,658","9,118","9,118","9,118","9,118","9,118","9,118","9,118","9,118","9,139","9,138","9,138","9,137","9,137","9,137","14,504","14,503","15,092","15,091","15,091","15,429","15,428","16,245",2,"16,813","16,812","17,170","17,169","17,551","18,283","18,282","19,096","19,497","19,496","19,495","19,494","21,420","21,419","22,622","22,621","23,104","23,103","23,102","23,101","24,972","24,971","26,249","26,248","26,247","29,309","29,307","30,642","30,641","30,640","32,518","32,516","32,515","34,074","34,073","35,077","35,075","35,074","36,303","36,302","36,300","36,299","36,297","38,303","38,301","39,103","39,324","39,797","39,795","40,268","40,266","40,264","40,263","40,261","40,259","40,257","40,255","40,992","40,990","40,989","40,987","40,985","40,983","40,981","40,979","40,977","40,976","40,974","40,972","40,970","40,968","40,966","40,965","40,963","40,961","40,959","40,957","40,955","40,953","40,952","40,950","40,948","40,946","40,944","40,942","40,941","40,939"
Senegal,,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,"1,062","1,062","1,133","1,133","1,133","1,133","1,133","1,133","1,133","1,469","1,475","1,474","1,474","1,474","1,474","1,474","1,474","1,474","1,970","2,042","2,097","2,097","2,097","2,249",2,"2,365","2,439","2,521","2,582","2,691","2,771","2,938","2,943","2,943","2,943","2,943","3,245","3,328","3,328","3,470","3,529","3,529","3,685","3,684","3,819","3,818","3,960","4,057","4,056","4,189","4,189","4,310","4,368","4,499","4,559","4,629","4,686","4,762","4,816","4,885","4,949","4,948","4,948","5,100","5,141","5,188","5,245","5,297","5,344","5,409","5,451","5,497","5,544","5,614","5,677","5,724","5,766","5,804","5,826","5,899","5,969","6,064","6,063","6,223","6,287","6,336","6,335","6,427","6,426","6,477","6,531","6,587","6,650","6,724","6,838","6,939","6,939","7,131","7,214","7,265","7,374","7,477","7,593","7,704","7,704","7,766","7,820","7,907","7,997","8,081","8,080","8,154"
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Honduras,203,203,242,256,256,256,256,256,314,349,349,368,368,368,368,368,368,471,486,529,571,571,571,571,571,571,571,571,572,572,572,572,572,"1,090","1,090","1,144","1,196","1,195","1,195","1,496","1,496","1,496",20,"1,495","1,495","1,495","1,495","1,495","1,495","1,495","1,495","1,495","2,177","2,177","2,177","2,177","2,177","2,177","2,177","2,176","2,176","2,176","2,176","2,176","2,176","2,176","2,176","2,176","2,176","2,175","2,175","2,175","2,175","2,175","4,979","4,979","4,978","4,978","4,978","4,978","4,978","4,977","4,977","4,977","4,977","4,977","4,976","4,976","4,976","4,976","4,975","4,975","4,975","4,975","7,953","7,952","7,952","7,951","7,951","9,262","9,433","9,639","9,639","9,816","9,974","9,973","10,374","10,507","10,670","10,669","10,920","11,018","11,018","11,327","11,327","11,598","11,717","11,716","11,934","12,025","12,111","12,210","12,337","12,448","12,447","12,733","12,890","13,037","13,183","13,321"
Uruguay,"3,235","3,235","3,592","3,802","3,856","4,008","4,183","4,183","4,558","4,558","4,749","4,912","5,039","5,222","5,685","5,917","6,093","6,316","6,565","6,855","7,098","7,398","7,726","7,905","8,067","8,261","8,492","8,696","8,988","9,281","9,514","9,752","9,902","10,020","10,261","10,522","10,707","10,825","10,985","11,143","11,366","11,585",6,"12,274","12,520","12,644","12,829","13,023","13,181","13,393","13,658","13,829","13,945","14,079","14,297","14,533","14,774","14,994","15,220","15,336","15,468","15,687","156,872","16,093","16,190","16,375","16,493","16,608","16,941","17,365","17,736","18,069","18,477","18,593","18,892","19,086","19,441","19,704","20,027","20,289","20,566","20,885","21,189","21,465","21,887","22,239","22,486","22,620","23,016","23,443","23,825","24,261","24,755","25,143","25,506","26,091","26,495","27,387","28,054","28,658","29,086","29,645","30,207","30,887","31,459","31,931","32,675","33,153","33,686","34,258","35,194","35,712","36,535","37,069","37,631","37,938","38,341","38,971","39,476","39,912","41,033","41,501","42,087","42,469","43,186","43,771","44,435","45,066","45,663","46,099"
San Marino,"24,933","24,933","47,302","50,426","50,868","53,638","55,171","56,851","56,851","56,851","61,124","61,360","63,953","65,869","67,932","70,319","70,643","72,235","72,412","74,799","78,394","81,843","84,289","87,118","87,118","87,973","91,981","94,339","97,282","100,053","101,999","103,145","103,145","106,417","109,071","111,399","114,167","116,967","116,967","117,793","120,239","120,236","1,238","129,167","131,643","131,643","132,203","134,793","137,417","139,981","139,981","139,981","139,977","139,977","149,173","151,797","151,797","154,386","154,386","154,386","157,834","159,544","160,129","161,720","162,133","162,133","162,133","163,602","164,957","165,959","166,490","167,079","167,074","167,074","167,074","168,371","168,843","168,838","168,838","168,838","168,838","168,838","168,838","168,833","168,833","168,833","168,833","168,833","168,828","168,828","168,828","168,828","168,828","168,823","168,823","168,823","168,823","168,823","168,818","168,818","168,818","168,818","168,818","168,813","168,813","168,813","178,802","178,802","178,797","178,797","178,797","178,797","178,797","178,791","178,791","178,791","178,791","178,791","178,791","178,786","178,786","178,786","178,786","178,786","188,533","191,833","191,833","191,833","191,833","191,827"
Channel Islands,"19,095","19,095","19,095","19,095","19,095","19,095","19,095","19,095","19,095","19,095","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,725","30,762","30,761","30,761","30,760","30,759","30,758","30,758","30,757","30,756","30,755","59,039","59,038","59,036","59,035",259,"59,032","59,030","59,029","59,027","59,026","59,024","59,023","59,021","59,020","59,019","59,017","59,015","59,014","59,012","59,011","59,009","59,008","59,007","59,005","59,004","59,002","59,001","58,999","58,997","58,996","58,995","58,993","58,992","58,990","58,989","58,987","58,986","123,019","123,016","123,012","123,009","123,006","123,003","123,000","122,997","122,994","122,991","122,987","122,985","122,982","122,978","123,102","123,098","123,095","176,624","176,619","176,615","176,611","176,606","176,602","176,597","176,593","176,589","176,584","176,580","176,576","176,571","176,567","176,562","176,557","176,553","176,548","176,544","176,540","176,535","299,122","299,113","299,107","299,100","299,091","299,084","299,077","299,069","299,062","299,053","299,046","396,297","396,286","396,276","396,267","396,256","396,247"
Sri Lanka,223,223,223,302,302,317,345,345,614,647,647,712,827,827,988,"1,047","1,099","1,177","1,254","1,254","1,372","1,426","1,498","1,583","1,650","1,709","1,759","1,809","1,852","1,852","1,965","2,016","2,074","2,119","2,169","2,220","2,295","2,387","2,480","2,562","2,625","2,678",0.5,"2,844","2,906","2,987","3,053","3,103","3,186","3,284","3,372","3,457","3,515","3,595","3,595","3,751","3,818","3,818","3,961","4,015","4,015","4,145","4,204","4,269","4,268","4,402","4,441","4,441","4,549","4,549","4,549","4,727","4,727","4,727","4,727","4,908","4,908","4,908","5,160","5,160","5,160","5,160","5,359","5,359","5,359","5,359","5,359","5,700","5,700","5,866","5,973","6,088","6,200","6,327","6,327","6,517","6,517","6,708","6,708","6,708","6,708","6,708","7,146","7,146","7,261","7,261","7,261","7,480","7,567","7,567","7,567","7,783","7,783","7,783","7,783","7,783","7,783","7,783","7,783","7,783","7,783","7,783","7,782","7,782","7,782","9,102","9,102","9,102","9,102","9,102"
Georgia,"1,260","1,260","1,260","1,260","1,908","1,908","2,099","2,099","2,099","2,431","2,431","2,884","2,884","3,157","3,689","3,987","3,987","3,987","3,987","5,159","5,159","6,025","6,483","6,980","7,454","7,454","8,010","8,399","8,646","9,084","9,085","9,765","9,918","10,203","10,203","11,052","11,456","11,456","12,172","12,304","12,584","12,584",3,"13,439","13,439","14,283","14,283","14,782","15,107","15,388","15,389","15,389","15,389","16,975","16,975","16,976","17,689","17,689","18,522","19,030","19,030","19,591","19,591","19,591","20,989","20,989","20,990","20,990","22,669","22,669","23,869","24,688","25,507","25,507","25,507","26,700","26,700","28,369","28,369","30,167","30,167","31,415","31,415","31,415","33,655","33,656","35,743","35,744","37,150","37,151","39,145","39,146","41,187","41,187","41,187","43,763","43,763","43,763","46,918","46,918","46,918","50,524","51,235","51,236","53,665","53,665","56,449","56,449","56,449","56,450","60,293","60,293","60,294","60,294","64,820","64,821","64,821","64,821","64,822","71,157","71,157","71,158","75,519","75,520","75,520","79,021","79,021","82,104","82,105","82,105"
Guatemala,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,403,403,403,403,"1,165","1,165","1,165","1,165","1,424","1,424","1,424","1,758","1,758","1,757",4,"1,757","1,757","1,757","1,757","1,757","1,757","1,757","1,757","1,757","1,756","1,756","1,756","1,756","1,756","1,756","1,756","1,756","1,756","1,756","1,756","1,755","1,755","1,755","1,755","1,755","1,755","1,755","1,755","1,755","1,755","1,755","1,754","1,754","1,754","1,754","3,605","3,605","3,605","3,605","3,604","3,604","3,604","3,604","3,604","3,604","3,603","3,603","3,603","3,603","3,603","3,602","3,602","6,755","6,975","7,188","7,384","7,551","7,741","7,833","7,856","8,055","8,259","8,259","8,727","8,952","9,006","9,006","9,223","9,430","9,624","9,828","9,828","10,101","10,128","10,326","10,326","10,758","10,976","11,170","11,193","11,193","11,437","11,646","11,871","12,070","12,069","12,317"
Malta,"47,932","47,932","52,663","52,663","56,436","58,080","59,220","60,721","62,105","63,371","63,371","66,712","69,139","71,875","74,713","74,713","79,532","81,994","81,994","83,672","86,825","89,156","91,708","91,708","91,708","98,285","101,136","103,725","104,141","107,622","111,534","114,670","117,073","120,514","124,296","127,372","130,905","134,816","137,763","139,581","142,914","145,738",16,"151,014","154,126","156,360","157,711","160,136","162,468","164,488","165,340","168,685","170,734","171,881","174,489","176,415","178,462","178,461","183,363","186,329","187,582","190,381","192,443","194,389","196,318","198,096","199,834","200,884","202,982","205,071","207,395","209,536","209,535","213,001","214,168","215,450","218,019","220,038","222,258","224,492","230,856","231,889","233,994","235,747","237,578","239,331","241,010","242,686","243,717","245,823","248,052","248,050","252,616","254,535","254,532","257,739","259,909","262,208","264,729","266,835","269,290","272,050","273,973","277,035","280,689","284,586","287,560","291,516","294,724","297,978","301,376","305,538","309,541","313,427","313,424","320,977","324,638","328,897","333,749","339,499","344,331","349,841","349,839","359,823","364,628","369,745","376,602","382,134","387,362","392,277"
Jordan,"2,009","2,009","2,009","2,842","3,234","3,234","3,430","3,528","6,038","6,247","6,247","6,247","6,247","6,247","6,247","7,731","8,046","8,291","8,587","8,984","9,518","9,971","10,420","10,907","10,907","11,689","12,114","12,477","12,953","13,369","13,760","14,165","14,165","14,569","14,569","15,371","15,632","15,867","16,009","16,198","16,471","16,470",0.9,"17,669","18,014","18,440","18,937","19,507","20,046","20,636","20,970","21,371","21,785","22,436","23,047","23,578","24,460","25,216","26,169","27,012","27,814","28,691","29,659","30,465","31,217","31,878","32,437","32,952","33,444","34,180","34,799","35,516","36,224","36,728","37,225","37,797","38,459","39,294","40,057","40,708","41,247","41,771","42,558","43,196","43,967","44,541","45,109","45,664","46,226","46,778","47,331","48,216","48,989","49,689","50,345","50,938","51,632","52,338","53,174","53,935","54,697","55,348","55,962","56,583","57,338","58,027","58,551","59,073","59,493","59,915","60,382","60,964","61,562","62,146","62,715","63,293","63,907","64,517","65,166","65,819","66,542","67,186","67,812","68,414","69,096","69,808","70,566","71,285","72,157","72,921"
DRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Taiwan,"2,129","2,167","2,202","2,226","2,252","2,329","2,387","2,435","2,478","2,513","2,539","2,590","2,590","2,619","2,639","2,659","2,675","2,691","2,705","2,727","2,754","2,773","2,790","2,807","2,819","2,830","2,860","2,860","2,870","2,883","2,897","2,906","2,914","2,914","2,934","2,954","2,954","2,962","2,969","2,977","2,986","2,999",0.3,"3,013","3,020","3,027","3,037","3,052","3,052","3,052","3,067","3,075","3,085","3,091","3,097","3,097","3,097","3,097","3,097","3,097","3,124","3,137","3,137","3,137","3,137","3,137","3,137","3,164","3,164","3,164","3,183","3,200","3,200","3,200","3,200","3,228","3,228","3,234","3,240","3,240","3,240","3,264","3,270","3,276","3,284","3,284","3,296","3,301","3,306","3,312","3,312","3,319","3,319","3,338","3,338","3,351","3,357","3,363","3,370","3,370","3,380","3,385","3,385","3,393","3,417","3,425","3,435","3,435","3,440","3,457","3,456","3,473","3,473","3,489","3,489","3,489","3,489","3,519","3,519","3,537","3,545","3,545","3,545","3,545","3,545","3,583","3,592","3,601","3,606","3,611"
Réunion,,,,,,,,,,,,,,,,,,,,,"19,211","19,211","19,211","19,211","19,211","19,211","19,211","19,211","19,229","19,229","19,228","19,228","19,227","19,227","19,227","19,226","19,226","19,226","19,225","19,225","19,224","19,224",1,"19,223","19,223","19,223","19,222","19,222","19,221","19,221","19,221","19,220","19,220","19,220","19,219","19,219","19,218","19,218","19,218","19,217","19,217","19,217","19,216","19,216","19,215","19,215","19,215","19,214","19,214","19,214","19,213","19,213","19,212","19,212","19,212","39,561","39,560","39,559","39,558","39,558","39,557","39,556","39,555","39,555","39,554","39,553","39,552","39,551","39,551","39,550","39,549","39,548","39,548","39,547","39,546","39,545","39,545","39,544","39,543","39,542","39,542","39,541","39,540","39,539","39,538","39,538","39,537","39,536","39,535","39,535","39,534","39,533","39,532","39,532","39,531","39,530","39,529","39,528","39,528","39,527","39,526","39,525","39,525","39,524","39,523","39,522","39,521","39,521","39,520","39,519"
Mayotte,"5,498","6,231","6,598","6,781","6,781","7,331","7,698","7,698","8,064","8,064","9,164","9,164","9,897","9,897","10,996","10,996","10,996","10,996","12,463","12,463","12,463","14,662","14,662","14,662","14,662","14,662","14,662","17,594","18,389","18,388","19,122","19,121","19,119","19,118","19,117","19,116","19,114","19,113","19,112","19,110","19,109","19,108",77,"19,105","19,104","19,103","19,102","27,916","27,914","27,912","29,930","29,928","29,926","29,924","29,922","32,307","32,304","32,302","32,300","32,298","32,296","32,294","32,292","32,289","32,287","32,285","32,283","32,281","32,279","32,277","32,275","32,272","32,270","32,268","32,266","32,264","32,262","32,260","32,257","32,255","32,253","32,251","32,249","32,247","32,245","32,242","32,240","32,238","32,236","47,618","47,615","47,612","47,609","47,606","47,603","47,600","47,596","47,593","47,590","47,587","47,584","47,581","47,578","47,574","47,571","47,568","47,565","47,562","47,559","47,556","47,553","47,549","47,546","47,543","47,540","47,537","47,534","47,530","47,527","47,524","47,521","47,518","47,515","47,512","47,509","47,505","47,502","47,499","47,496","47,493"
Mali,,,,,,,100,100,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,123,123,124,124,162,168,173,173,173,173,173,173,173,173,173,173,4,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,488,488,521,521,531,531,531,540,540,633,633,633,633,633,633,633,632,632,632,806,806,806,805,805,805,805,805,805,805,805,948,973,984,986,992,"1,012","1,024","1,042","1,042","1,042","1,070","1,085","1,085","1,085","1,118","1,118","1,138","1,170","1,170","1,239","1,239","1,239","1,303","1,330","1,330","1,364","1,411","1,446","1,469","1,515","1,546","1,577","1,577","1,610","1,610","1,658","1,658","1,657"
Kenya,179,201,201,246,258,273,273,273,311,325,335,335,335,335,377,404,404,442,461,461,481,481,547,577,577,613,613,659,689,689,689,815,836,872,921,979,"1,027","1,075","1,105","1,155","1,198","1,255",1,"1,379","1,434","1,463","1,492","1,492","1,585","1,585","1,693","1,760","1,813","1,833","1,875","1,917","1,979","2,023","2,089","2,088","2,210","2,270","2,270","2,429","2,429","2,429","2,606","2,649","2,727","2,817","2,890","2,947","3,023","3,073","3,114","3,159","3,224","3,274","3,274","3,441","3,519","3,559","3,597","3,653","3,724","3,840","3,866","3,997","4,019","4,112","4,191","4,263","4,262","4,425","4,531","4,577","4,644","4,723","4,849","4,848","4,848","5,001","5,193","5,283","5,380","5,380","5,541","5,761","5,861","5,910","5,994","6,109","6,223","6,349","6,482","6,564","6,649","6,726","6,848","6,973","7,074","7,191","7,260","7,318","7,392","7,392","7,391","7,641","7,747","7,824"
Palestine,"3,397","3,397","3,397","3,397","3,397","3,397","3,397","5,293","5,293","5,293","5,293","5,293","5,293","5,293","6,312","6,312","6,312","6,312","6,312","6,312","6,765","6,765","6,765","6,765","6,765","6,765","8,540","8,540","8,567","8,825","8,824","8,823","8,823","8,822","8,822","8,821","8,821","8,820","8,819","8,819","8,818","8,818",0.6,"8,817","8,816","8,816","8,815","8,814","8,814","8,813","8,813","8,812","8,812","8,811","8,810","8,810","8,809","8,809","8,808","8,808","8,807","8,807","8,806","8,805","8,805","8,804","8,804","8,803","15,228","15,227","15,226","16,596","16,594","16,593","16,592","16,591","16,590","16,589","16,588","16,587","16,586","16,585","24,018","24,017","24,015","24,014","24,012","24,011","24,009","27,708","27,706","27,704","27,702","30,425","30,423","30,421","30,419","30,417","30,415","30,413","30,411","30,409","30,408","30,406","30,404","30,402","30,400","30,398","30,396","39,183","39,181","39,178","39,176","39,173","39,171","42,020","42,017","42,015","42,012","42,009","42,007","42,004","42,001","41,999","41,996","41,993","41,991","41,988","41,985","41,983"
Mauritius,"6,510","7,670","7,670","7,670","7,670","7,670","7,670","10,092","10,516","10,516","11,358","11,358","11,358","11,358","12,603","12,603","12,603","12,603","14,466","14,908","43,635","47,545","47,545","54,863","54,863","54,863","54,863","54,863","54,874","54,874","54,874","68,333","70,635","72,955","75,237","77,131","79,472","79,471","80,411","80,410","82,291","85,328",8,"89,837","91,961","91,961","94,650","95,948","95,947","97,692","102,049","103,423","103,422","105,283","105,283","108,354","108,353","108,353","108,352","108,352","108,351","108,351","108,350","119,677","119,677","119,676","119,676","129,102","129,101","135,084","135,084","135,083","135,083","135,082","135,081","135,081","146,676","146,916","146,915","146,914","146,914","146,913","152,193","152,192","152,192","152,191","152,190","152,190","152,189","152,188","152,188","152,187","152,186","152,186","161,403","161,402","161,401","161,401","161,400","161,399","161,398","161,398","161,397","161,396","161,395","161,395","161,394","161,393","161,392","161,392","161,391","161,390","161,389","161,389","161,388","161,387","161,387","161,386","161,385","161,384","161,384","161,383","161,382","161,381","161,381","161,380","161,379","161,379","161,378","161,377"
Venezuela,"9,442","9,442","10,540","10,540","12,211","12,211","12,211","12,211","13,860","14,896","14,896","15,507","15,507","16,132","16,132","16,132","16,802","16,984","16,984","16,984","17,262","17,681","17,834","18,012","18,012","18,298","18,494","18,494","18,834","18,992","18,992","20,227","20,428","20,428","21,676","24,528","25,855","27,116","28,266","29,269","30,424","31,561",0.4,"33,819","34,118","34,309","34,309","34,734","35,002","35,003","35,495","35,979","47,233","47,233","36,783","37,040","37,040","37,511","37,511","37,511","38,030","38,031","38,031","38,844","38,845","39,701","40,415","40,216","40,217","40,944","41,360","41,858","42,891","43,613","43,613","43,614","44,669","45,145","45,633","49,665","49,665","46,609","46,987","46,987","46,987","48,095","48,095","48,766","48,766","48,767","48,767","49,735","49,946","50,190","50,191","50,478","50,478","50,687","51,729","52,107","52,470","52,471","52,853","53,164","53,525","53,526","53,526","54,378","54,379","54,686","54,920","55,137","55,364","55,364","55,799","55,800","56,149","56,399","56,681","56,945","56,945","57,713","57,714","58,080","58,080","58,751","59,056","59,057","59,652","59,652"
Montenegro,"6,168","6,168","6,168","6,168","6,168","8,096","8,096","8,096","8,096","8,096","8,096","8,096","10,929","10,929","10,929","10,929","10,929","12,445","12,445","12,445","12,445","12,445","12,445","12,445","12,445","12,445","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188","16,188",14,"16,188","16,188","16,188","16,188","16,188","16,188","16,188","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","20,995","21,297","22,004","22,004","22,004","22,720","23,534","24,243","24,867","25,766","25,766","25,766","25,766","39,760","43,573","44,930","45,522","46,033","47,179","48,157","49,131","49,131","50,120","50,896","51,789","52,437","53,516","54,468","55,436","55,436","56,253","57,829","58,515","58,515","59,729","60,494","61,182","61,921","62,440","62,859","63,488","64,336","65,069","65,653","66,439","66,793","67,562","68,041","68,871","69,778","70,404","71,208","71,888","72,313"
Isle of Man,"26,590","27,930","28,389","28,989","29,506","29,506","31,211","31,447","32,352","32,881","33,563","34,140","35,116","35,857","36,656","37,962","38,126","39,267","39,267","40,678","40,678","42,631","42,631","42,631","44,371","44,371","45,312","46,006","46,755","47,448","47,848","48,271","49,035","49,822","50,151","51,221","51,691","52,409","53,219","53,760","54,406","54,935",282,"55,957","56,533","57,556","58,037","58,860","59,365","59,929","60,269","60,268","60,267","62,137","62,524","62,935","63,698","64,509","64,509","64,508","66,106","66,105","67,351","68,362","69,007","69,006","69,006","70,828","70,827","72,425","72,424","72,423","73,775","73,773","73,772","76,335","76,334","77,121","77,119","77,118","77,611","77,611","80,301","80,301","81,875","82,674","82,672","82,671","84,739","85,844","85,843","86,370","87,862","87,861","87,860","89,421","90,761","90,759","91,899","92,039","92,037","92,036","92,199","94,996","95,652","96,168","96,167","96,847","96,845","98,243","99,535","100,615","101,401","101,845","101,844","101,843","101,842","104,578","105,282","105,821","106,549","106,547","106,545","109,305","109,421","109,420","110,734","111,438","111,436","111,435"
Jamaica,481,481,512,542,611,638,718,718,747,850,969,"1,102","1,223","1,348","1,348","1,499","1,614","1,761","1,902","1,969","2,024","2,058","2,167","2,240","2,326","2,398","2,455","2,521","2,629","2,629","2,685","2,768","2,877","2,983","2,983","3,048","3,101","3,228","3,353","3,456","3,571","3,571",3,"3,872","4,080","4,185","4,291","4,456","4,529","4,666","4,666","4,727","4,804","4,927","5,000","5,118","5,118","5,118","5,354","5,521","5,570","5,724","5,724","5,898","6,289","6,626","6,809","6,901","7,186","7,315","7,518","7,670","7,879","7,964","8,065","8,164","8,274","8,426","8,520","8,695","8,780","8,959","9,049","9,165","9,238","9,399","9,399","9,528","9,528","9,607","9,658","9,778","9,941","10,012","10,205","10,453","10,822","10,990","11,199","11,398","11,701","11,957","12,219","12,422","12,562","12,668","12,668","13,075","13,183","13,425","13,535","13,747","13,941","14,123","14,328","14,502","14,643","14,777","14,977","15,163","15,283","15,431","15,602","15,700","15,837","16,155","16,610","17,105","17,470","17,719"
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
El Salvador,"1,285","1,429","1,571","1,721","1,882","2,059","2,216","2,372","2,531","2,686","2,881","3,100","3,294","3,483","3,709","3,930","4,157","4,409","4,685","4,685","5,185","5,459","5,752","6,025","6,335","6,636","6,926","7,220","7,546","7,890","8,240","8,592","8,929","9,308","9,693","10,062","10,437","10,832","11,201","11,591","11,951","12,295",6,"13,057","13,414","13,782","14,164","14,540","14,906","15,296","15,670","16,049","16,432","16,798","17,160","17,528","17,893","18,271","18,650","19,023","19,393","19,769","20,150","20,150","20,904","21,278","21,653","22,032","22,410","22,784","23,166","23,548","23,944","24,329","24,701","25,086","25,463","25,836","26,211","26,586","26,968","27,343","27,727","28,112","28,492","28,875","29,249","29,628","30,005","30,390","30,772","31,156","31,538","31,910","32,283","32,660","33,052","33,433","33,814","34,187","34,187","34,941","35,321","35,706","36,075","36,447","36,819","37,195","37,577","37,955","38,338","38,720","38,720","39,475","39,855","40,237","40,615","40,999","41,377","41,764","42,142","42,524","42,901","42,900","43,662","44,047","44,418","44,792","45,173","45,550"
Vietnam,"2,119","2,119","2,119","2,119","2,119","2,119","2,119","2,119","2,119","2,119","2,188","2,188","2,188","2,188","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,825","2,829","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828","2,828",,"2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,827","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,826","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,825","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,824","2,823","2,823","2,823","2,823","4,414","4,414","4,414","4,414","4,952","4,952","4,952","4,952","4,952","4,952","4,952","4,952","4,951","6,382","6,381","6,381","6,381","7,425","7,425","7,425","7,425","8,385","8,385","8,385","8,385"
Equatorial Guinea,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,612,612,611,611,611,611,611,611,611,611,611,611,611,611,9,611,611,"5,912","5,911","5,911","5,910","5,910","5,909","5,909","5,908","5,908","5,907","5,907","5,906","5,906","5,905","5,904","5,904","5,903","11,423","11,422","11,421","11,420","11,419","11,418","11,417","11,416","11,415","11,414","11,413","11,412","11,411","11,410","11,409","11,408","11,407","11,406","11,405","11,404","11,402","11,401","11,400","11,399","11,398","11,397","11,396","11,395","11,394","11,393","11,392","11,391","11,390","11,389","11,388","11,387","11,386","11,385","11,384","11,383","11,382","11,381","11,380","11,379","31,542","31,539","31,537","31,534","31,531","31,528","31,525","31,522","31,520","31,517","31,514","31,511","31,508","31,505","31,503","31,500","31,497","31,494","31,491","34,938","34,935","34,932","35,827","35,824"
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
