Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
Moldova,"315,414","+1,565","7,206",+34,"295,604","12,604",184,"78,425","1,792","1,905,136","473,695"
Slovenia,"307,504","+1,438","4,635",+4,"290,701","12,168",89,"147,888","2,229","1,648,183","792,660"
Oman,"304,025",0,"4,103",0,"299,362",560,8,"57,650",778,"25,000,000","4,740,546"
Armenia,"280,294","+1,863","5,754",+41,"253,146","21,394",0,"94,363","1,937","1,874,598","631,095"
Bahrain,"276,030",+55,"1,391",0,"274,013",626,3,"155,289",783,"6,687,979","3,762,515"
Kenya,"251,959",+156,"5,215",+5,"245,178","1,566",31,"4,557",94,"2,635,120","47,655"
Bosnia and Herzegovina,"243,914",0,"11,110",0,"192,218","40,586",0,"74,947","3,414","1,265,280","388,782"
Qatar,"237,867",+69,608,0,"236,341",918,8,"84,716",217,"2,751,612","979,987"
Zambia,"209,505",+28,"3,658",+1,"205,631",216,9,"11,000",192,"2,538,613","133,290"
Nigeria,"209,173",+376,"2,804",+35,"197,084","9,285",11,983,13,"3,142,971","14,776"
Algeria,"205,199",+93,"5,870",+3,"140,687","58,642",13,"4,573",131,"230,861","5,145"
North Macedonia,"196,762",+386,"6,922",+21,"183,027","6,813",0,"94,449","3,323","1,339,824","643,137"
Norway,"196,142",+334,884,0,"88,952","106,306",16,"35,819",161,"8,004,891","1,461,840"
Latvia,"183,237","+2,797","2,881",+12,"156,697","23,659",133,"98,554","1,550","4,662,340","2,507,629"
Botswana,"181,856",0,"2,386",0,"178,124","1,346",1,"75,373",989,"1,788,867","741,425"
Uzbekistan,"180,566",+404,"1,285",+2,"176,403","2,878",23,"5,296",38,"1,377,915","40,415"
Kyrgyzstan,"179,775",+94,"2,632",+3,"174,578","2,565",131,"26,982",395,"1,745,460","261,970"
Albania,"177,536",+428,"2,810",+3,"168,437","6,289",3,"61,779",978,"1,257,173","437,469"
Estonia,"171,395","+1,238","1,422",+7,"153,726","16,247",31,"129,093","1,071","2,020,398","1,521,744"
Afghanistan,"155,739",+51,"7,238",0,"126,851","21,650","1,124","3,888",181,"766,639","19,139"
Mozambique,"151,097",+17,"1,925",0,"148,099","1,073",32,"4,666",59,"925,600","28,585"
Finland,"149,897",0,"1,116",0,"46,000","102,781",36,"27,000",201,"7,265,979","1,308,755"
Singapore,"145,120","+3,348",224,+9,"118,211","26,685",62,"24,556",38,"20,436,387","3,458,127"
Australia,"141,033","+2,312","1,516",+9,"110,092","29,425",312,"5,449",59,"40,861,457","1,578,809"
Montenegro,"137,401",+355,"2,020",+2,"130,562","4,819",65,"218,733","3,216","775,623","1,234,736"
Zimbabwe,"132,333",+48,"4,657",+2,"126,213","1,463",12,"8,740",308,"1,463,118","96,629"
Ghana,"129,258",+890,"1,165",+7,"125,601","2,492",42,"4,051",37,"1,781,277","55,826"
Namibia,"128,239",0,"3,538",0,"123,820",881,5,"49,320","1,361","727,230","279,687"
Uganda,"125,094",+45,"3,182",+2,"96,367","25,545",237,"2,628",67,"1,746,963","36,703"
Cyprus,"120,541",+126,562,+2,"90,755","29,224",22,"98,910",461,"9,420,908","7,730,337"
Cambodia,"116,407",+267,"2,634",+24,"110,465","3,308",0,"6,841",155,"2,542,331","149,399"
El Salvador,"110,188",0,"3,460",+13,"92,173","14,555",345,"16,878",530,"1,329,565","203,658"
Rwanda,"99,128",+61,"1,313",0,"45,506","52,309",4,"7,417",98,"2,985,767","223,399"
Cameroon,"98,402",0,"1,550",0,"80,433","16,419",152,"3,592",57,"1,751,774","63,943"
Jamaica,"87,232",+246,"2,103",+31,"55,264","29,865",25,"29,294",706,"623,564","209,402"
Maldives,"86,088",+111,237,0,"84,587","1,264",23,"155,730",429,"1,552,125","2,807,736"
Luxembourg,"79,720",0,839,0,"77,447","1,434",3,"124,739","1,313","3,554,740","5,562,155"
Senegal,"73,865",+6,"1,871",0,"71,970",24,6,"4,267",108,"822,364","47,504"
Angola,"62,789",+183,"1,662",+2,"50,617","10,510",28,"1,837",49,"1,043,451","30,528"
Malawi,"61,712",+3,"2,292",0,"56,768","2,652",67,"3,122",116,"418,404","21,168"
Ivory Coast,"60,982",0,674,0,"59,310",998,0,"2,240",25,"1,055,780","38,789"
DRC,"57,269",0,"1,089",0,"50,930","5,250",0,615,12,"306,299","3,291"
Guadeloupe,"54,152",0,731,0,"2,250","51,171",23,"135,308","1,827","485,295","1,212,595"
Réunion,"54,024",0,370,0,"53,520",134,33,"59,791",409,"1,279,618","1,416,210"
Trinidad and Tobago,"53,887",+198,"1,593",+9,"47,985","4,309",22,"38,345","1,134","373,742","265,945"
Fiji,"51,701",0,663,0,"48,221","2,817",3,"57,139",733,"427,690","472,679"
Eswatini,"46,361",+2,"1,233",0,"44,874",254,10,"39,434","1,049","362,793","308,590"
Suriname,"46,313",+181,"1,014",+7,"27,066","18,233",17,"78,046","1,709","139,709","235,435"
French Guiana,"43,376",0,295,0,"9,995","33,086",26,"140,540",956,"414,645","1,343,467"
Madagascar,"42,898",0,958,0,"41,322",618,3,"1,500",33,"249,510","8,722"
Martinique,"42,167",0,638,0,104,"41,425",1,"112,479","1,702","359,082","957,836"
French Polynesia,"40,178",0,633,0,"33,500","6,045",11,"141,971","2,237","26,355","93,127"
Sudan,"39,550",+59,"3,038",+4,"32,872","3,640",0,876,67,"238,579","5,282"
Syria,"38,705",+340,"2,391",+9,"24,943","11,371",0,"2,145",132,"103,566","5,739"
Cabo Verde,"38,035",+29,347,0,"37,246",442,23,"67,465",615,"211,025","374,310"
Malta,"37,445",+8,459,0,"36,311",675,1,"84,515","1,036","1,211,456","2,734,293"
Mauritania,"36,645",+54,788,+1,"35,414",443,22,"7,624",164,"482,633","100,406"
Guyana,"34,362",+122,866,+4,"29,719","3,777",31,"43,417","1,094","337,459","426,382"
Gabon,"33,442",0,213,0,"27,879","5,350",26,"14,583",93,"1,275,341","556,117"
Laos,"31,733",+545,38,+2,"6,558","25,137",0,"4,282",5,"559,426","75,480"
Guinea,"30,572",0,385,0,"29,233",954,24,"2,249",28,"564,211","41,514"
Tanzania,"26,034",0,724,0,0,0,7,420,12,0,0
Togo,"25,865",0,238,0,"25,064",563,0,"3,033",28,"531,730","62,349"
Benin,"24,560",0,161,0,"23,971",428,5,"1,960",13,"604,310","48,223"
Papua New Guinea,"24,041",0,266,0,"19,840","3,935",7,"2,623",29,"197,329","21,530"
Belize,"23,990",0,461,0,"20,724","2,805",10,"58,955","1,133","286,236","703,417"
Haiti,"22,933",+106,657,+8,"20,043","2,233",0,"1,980",57,"120,507","10,405"
Seychelles,"21,833",0,119,0,"21,430",284,0,"220,242","1,200","21,504","216,923"
Bahamas,"21,580",0,590,0,"19,683","1,307",15,"54,209","1,482","149,289","375,015"
Lesotho,"21,524",0,655,0,"11,983","8,886",0,"9,946",303,"226,374","104,602"
Somalia,"21,269",0,"1,180",0,"9,927","10,162",0,"1,292",72,"239,292","14,535"
Mayotte,"20,439",0,181,0,"2,964","17,294",0,"72,664",643,"176,919","628,974"
Timor-Leste,"19,707",+4,119,0,"19,490",98,0,"14,589",88,"169,501","125,484"
Burundi,"19,555",+42,38,0,773,"18,744",0,"1,584",3,"345,742","28,005"
Tajikistan,"17,086",+2,124,0,"16,960",2,0,"1,741",13,0,0
