Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
October23,7988513,231391,247496,1988,2900592,2608280,15446
October24,8194319,205806,249113,1617,2940479,2741148,15884
October25,8395536,201214,250433,1320,2969861,2881849,16376
October26,8628924,204664,252214,1594,3010327,2996038,17158
October27,8859450,225168,254990,2754,3062234,3113659,18061
October28,9105236,245786,257503,2506,3118666,3248477,18977
October29,9411830,282109,260061,2557,3177879,3409799,19873
October30,9711748,299918,263090,3029,3237293,3586764,20714
October31,9946853,235100,265546,2453,3291776,3733587,21208
November01,10170973,224122,267493,1946,3353379,3862421,21771
November02,10451112,249909,270070,2325,3426463,3991637,22686
November03,10700983,239422,273947,3858,3504870,4103396,23802
November04,10993928,289748,279216,3928,3593388,4243753,24680
November05,11299606,314461,282914,3705,3677707,4418018,25256
November06,11621685,317389,287348,4421,3776713,4579755,25821
November07,11928307,306622,290546,3198,3865548,4763202,26408
November08,12147583,219276,292937,2391,3927992,4891607,27151
November09,12387088,219656,296413,3134,3993288,4998864,27589
November10,12641448,234920,301708,4863,4152076,5031964,28293
November11,12914903,268988,306504,4781,4259961,5141861,28809
November12,13212192,290372,310938,4404,4381156,5249032,28582
November13,13484610,280051,315654,4686,4491473,5360075,28986
November14,13727385,242775,319418,3764,4602593,5455739,29256
November15,13939680,212295,322376,2958,4682057,5555448,29529
November16,14181740,208247,326310,3558,4798177,5607677,29791
November17,14428530,215792,332104,5200,4955674,5654794,29989
November18,14680675,251160,337345,5141,5100141,5718054,30144
November19,14968043,271008,342272,4868,5249649,5784482,30094
November20,15228656,260613,348018,5242,5391138,5857420,30131
November21,15451025,222369,351916,3898,5528158,5913315,29945
November22,15634782,183757,355172,3256,5628884,5969459,30157
November23,15817436,173583,359374,3859,5774746,5964515,29948
November24,16035478,178191,365639,5774,5918098,5994558,29784
November25,16259128,218703,371170,5491,6062513,6032873,29725
November26,16497255,225067,376498,5276,6240058,6046026,29697
November27,16727100,224088,382426,5510,6395177,6080176,29463
November28,16921076,193984,386704,4278,6544254,6101005,29232
November29,17083259,162183,389885,3181,6657584,6129175,29240
November30,17245698,150347,394089,3938,6811252,6098722,28998
December01,17435068,171737,400161,5670,6964747,6086389,28646
December02,17647391,206182,405649,5306,7154792,6062042,28307
December03,17871684,218554,411178,5465,7316113,6082469,28179
December04,18083963,212279,416742,5334,7475647,6102720,27648
December05,18275255,191292,420886,4144,7623708,6120183,27523
December06,18440399,165145,424087,3201,7729881,6152159,27491
December07,18603912,153254,428068,3719,7863505,6140327,27481
December08,18803355,180155,433873,5283,8008295,6141047,27306
December09,18995136,197629,438800,4953,8189534,6119474,26991
